epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.84155,1.59753,4.12434,1.58444,0.00321,0.85,0.00637,0.00214,1.18441,4.55756,1.4542,6.668e-05,6.668e-05,6.668e-05
2,10.5058,1.37337,3.89196,1.35748,0.00381,0.95,0.24312,0.18286,1.09249,4.05422,1.14931,0.000148545,0.000148545,0.000148545
3,15.1235,1.54862,3.5599,1.46738,0.00297,0.68333,0.34382,0.12957,1.27621,4.19224,1.18314,0.000228759,0.000228759,0.000228759
4,19.5299,1.71573,3.57442,1.4801,0.00287,0.68333,0.30432,0.16406,1.29785,4.08609,1.23688,0.000307323,0.000307323,0.000307323
5,23.8106,1.64034,3.31688,1.50132,0.00309,0.73333,0.39824,0.12645,1.52983,4.27285,1.37101,0.000384237,0.000384237,0.000384237
6,28.066,1.63886,3.38966,1.40525,0.00251,0.63333,0.29826,0.1025,1.36393,4.21229,1.32293,0.0004595,0.0004595,0.0004595
7,32.3569,1.64275,3.22565,1.45345,0.00324,0.73333,0.20721,0.10156,1.37315,3.94534,1.41342,0.000533113,0.000533113,0.000533113
8,36.6275,1.57885,2.84271,1.43804,0.00383,0.83333,0.18887,0.08056,1.27168,4.15975,1.39522,0.000605076,0.000605076,0.000605076
9,40.9067,1.50438,2.92575,1.39756,0.00258,0.51667,0.11231,0.04722,1.55263,4.55081,1.80432,0.000675388,0.000675388,0.000675388
10,45.2336,1.78077,3.14037,1.60121,0.56237,0.05,0.04764,0.02228,1.49753,4.81434,1.83463,0.00074405,0.00074405,0.00074405
11,49.667,1.53026,3.10851,1.54068,0.06317,0.21667,0.11026,0.06509,1.57399,4.52607,2.01423,0.000811062,0.000811062,0.000811062
12,54.2073,1.60959,2.86988,1.49096,0.00216,0.46667,0.13622,0.08805,1.46416,4.51941,2.03597,0.000876424,0.000876424,0.000876424
13,58.5877,1.5559,2.88802,1.43383,0.00294,0.68333,0.13,0.04746,1.77136,4.49532,2.08029,0.000940135,0.000940135,0.000940135
14,63.398,1.49846,2.81739,1.36494,0.00294,0.68333,0.13,0.04746,1.77136,4.49532,2.08029,0.0010022,0.0010022,0.0010022
15,68.2492,1.53718,2.94127,1.34125,0.00262,0.63333,0.10086,0.03301,1.66631,4.54654,1.99963,0.00106261,0.00106261,0.00106261
16,72.676,1.60013,2.89263,1.39252,0.00284,0.56667,0.0914,0.016,1.75849,4.60014,1.99517,0.00112137,0.00112137,0.00112137
17,77.2412,1.63414,3.07238,1.43028,0.03493,0.51667,0.15637,0.04477,1.86576,4.23096,1.97357,0.00117848,0.00117848,0.00117848
18,81.6492,1.6347,2.69492,1.39458,0.03493,0.51667,0.15637,0.04477,1.86576,4.23096,1.97357,0.00123394,0.00123394,0.00123394
19,86.7669,1.63267,3.12205,1.47992,0.58357,0.1,0.09536,0.03535,1.92578,4.30321,2.13461,0.00128774,0.00128774,0.00128774
20,91.2153,1.58553,2.79899,1.39619,0.00246,0.56667,0.06463,0.01966,2.11261,4.97585,2.28114,0.0013399,0.0013399,0.0013399
21,95.7447,1.72695,2.95301,1.58464,0.00246,0.56667,0.06463,0.01966,2.11261,4.97585,2.28114,0.00133693,0.00133693,0.00133693
22,100.214,1.48557,2.60543,1.42925,0.00342,0.8,0.23765,0.05676,2.0504,4.61602,2.37911,0.00132043,0.00132043,0.00132043
